Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,blagnac,118.10000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
2,Perp. To,118.30000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
3,toul app,120.35500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
4,blagnac,121.10500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
5,blagnac,121.70500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
6,Parp. so,121.78000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
7,st mart,121.82500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
8,blagnac,121.90000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
9,blag ATI,123.13000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
10,Tlse app,123.85000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
11,Tlse app,123.93000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
12,Tlse app,124.97500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
13,Tlse app,125.18000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
14,Perp. AT,127.88000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
15,Tlse app,129.30500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.0,,2.0W,,,,,
