Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PR 1 ph,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
2,PR 1.1,446.006250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
3,PR 2 ph,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
4,PR 2.1,446.018750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
5,PR 3 su,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
6,PR 333,446.031250,,0.000000,TSQL,88.5,210.7,023,NN,023,Tone->Tone,FM,5.00,,2.0W,,,,,
7,PR 3.1,446.031250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
8,PR 4 ph,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
9,PR 4.1,446.043750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
10,PR 5 ra,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
11,PR 5.1,446.056250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
12,PR 6 re,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
13,PR 6.1,446.068750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
14,PR 7 ur,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
15,PR 7.1,446.081250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
16,PMR 7.7,446.081250,,0.000000,TSQL,88.5,85.4,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
17,PR 8 ap,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
18,PR 8.1,446.093750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,2.0W,,,,,
21,R0,145.600000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
22,R0X,145.612500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
23,R1X,145.637500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
24,R2,145.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
25,R2X,145.662500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
26,R3,145.675000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
27,R3X,145.687500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
