Fréq RX [MHz],Fréq TX [MHz],RX CTCSS/DCS,TX CTCSS/DCS,Puissance,Bande,Brouilleur,PTT ID,Saut Fréq,Verr Occupé,Scan,Mode RX,Nom
118.10000,118.10000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,blagnac
118.30000,118.30000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Perp To
120.35500,120.35500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,toul app
121.10500,121.10500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,blagnac
121.70500,121.70500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,blagnac
121.78000,121.78000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Parp so
121.82500,121.82500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,st mart
121.90000,121.90000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,blagnac
123.13000,123.13000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,blag ATI
123.85000,123.85000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Tlse app
123.93000,123.93000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Tlse app
124.97500,124.97500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Tlse app
125.18000,125.18000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Tlse app
127.88000,127.88000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Perp AT
129.30500,129.30500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Tlse app
130.85500,130.85500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,AM,Mont Ap
145.28700,145.28700,OFF,118.8,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,RRF 09
145.36300,145.36300,OFF,250.3,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,RRF 66
145.60000,145.00000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R0
145.61300,145.01300,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R0X
145.63700,145.03700,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R1X
145.63700,145.03100,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,VHF neul
145.65000,145.05000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R2
145.66200,145.06200,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R2X
145.67500,145.07500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R3
145.68800,145.08800,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R3X
145.70000,145.10000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R4
145.71300,145.11300,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R4X
145.72500,145.12500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R5
145.73800,145.13800,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R5X
145.75000,145.15000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R6
145.76200,145.16200,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R6X
145.77500,145.17500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R7
145.78700,145.18700,OFF,118.8,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,R7X
145.78700,145.18700,OFF,118.8,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,RVHF foi
154.15000,154.15000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,FFVL vol
156.15000,156.15000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 03 CRO
156.15000,156.15000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 07 MNA
156.20000,156.20000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 04 CRO
156.25000,156.25000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 05 POR
156.30000,156.30000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 06 NAV
156.40000,156.40000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 08 NAV
156.42500,156.42500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 68 CRO
156.45000,156.45000,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 09 CAP
156.47500,156.47500,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,M 69 MNA
